title,location,rating,reviews,guests,bedrooms,beds,bathrooms,price,days booked
Amazing Logan Square apartment,rental unit in Logan Square,5.0,21 ,6,2,3,1,$110,48
Trendy Logan Square Attic Oasis,rental unit in Avondale,5.0,5 ,2,1,1,1,$96,77
Private Coach house near Lincoln Square!,guesthouse in Lincoln Square,5.0,13 ,4,1,1,1,$120,25
The Roscoe Village Guesthouse,guesthouse in Roscoe Village,4.77,13 ,5,2,2,1,$102,17
Modern Chicago Bungalow Guest Suite with Parking,guest suite in Avondale,4.95,19 ,2,1,1,1,$110,12
"Sunny, Cozy, Colorful Andersonville",rental unit in Uptown,4.96,128 ,4,2,2,1,$100,7
Brand new stylish apt- with all the cozy comforts!,condominium (condo) in Logan Square,4.77,43 ,4,1,2,1,$89,84
Deluxe Uptown Condo,guest suite in Uptown,4.98,58 ,5,2,2,2,$114,24
Wicker Park/Bucktown Location,rental unit in Wicker Park,4.93,113 ,3,2,2,1,$100,79
"Sunny, quiet and clean condo in Roscoe Village",condominium (condo) in Roscoe Village,4.74,72 ,6,2,3,1,$90,0
Bright family-friendly Lincoln Square 2-bed 1-bath,rental unit in Lincoln Square,4.97,173 ,5,2,2,1,$106,16
Fun & Modern One Bedroom in Hip Logan Square,rental unit in Logan Square,4.90,30 ,4,1,2,1,$99,75
Unwind in Style Steps from the Magnificent Mile,rental unit in Near North Side,4.97,264 ,4,2,2,1,$250,30
Charming Bucktown 1BD,condominium (condo) in Bucktown,4.90,305 ,2,1,1,1,$125,83
"Ravenswood Manor, Sleeps 4! Close to El and Parks",rental unit in Albany Park,4.98,56 ,4,1,2,1,$95,16
Get Cozy at a Powder-Blue Residence in the Heart of Pilsen,residential home in Pilsen,4.97,143 ,4,2,2,1,$121,43
"Sunny, Cozy, Colorful Andersonville",rental unit in Uptown,4.96,128 ,4,2,2,1,$100,7
Paradise on the Park,residential home in West Town/Noble Square,4.98,40 ,2,1,1,1,$119,0
Superb Apartment @TheLoop steps to MilleniumPark✭,rental unit in Loop,4.95,115 ,3,S,1,1,$200,51
Beautiful & Inspiring Three Bedroom Home in Roscoe Village,rental unit in Roscoe Village,4.92,165 ,4,3,3,1,$127,10
"Wonderful Wicker Park 1 Bedroom, Walk To The Train",rental unit in Wicker Park,4.36,66 ,4,1,1,1,$88,3
"Charming Apt. near Wrigley/Cubs, Ravenswood/Uptown",rental unit in Uptown,4.92,102 ,5,1,2,1,$95,87
Relax & Walk to Wrigley Field from this Comfy Home,rental unit in North Center,4.94,115 ,4,2,2,2,$160,20
Greystone Haven in Logan Square,rental unit in Logan Square,4.96,228 ,4,2,2,2,$149,84
Logan Square Historic Getaway,rental unit in Logan Square,4.96,24 ,4,1,1,1,$96,17
Charming Lincoln Square Apartment Location,rental unit in Lincoln Square,4.86,14 ,4,1,1,1,$84,11
Urban Chic Apartment by the Magnificent Mile,rental unit in Near North Side,4.97,111 ,4,2,2,1,$250,25
"Charming, Spacious 3BR Lakeview Apt Near Transit",rental unit in Lakeview,4.97,156 ,5,3,3,1,$136,13
Great Location! Gold Coast! 07,rental unit in Near North Side,4.82,400 ,2,1,1,1,$65,10
Nice studio near lake w/king bed,rental unit in Lakeview,4.61,38 ,3,S,2,1,$83,0
Trendy Logan Square Attic Oasis,rental unit in Avondale,5.0,5 ,2,1,1,1,$96,77
Luxury furnished studio in Lincoln Park 6,rental unit in Lincoln Park,4.88,128 ,2,S,1,1,$78,14
"Charming Apt. near Wrigley/Cubs, Ravenswood/Uptown",rental unit in Uptown,4.92,102 ,5,1,2,1,$95,87
"Comfortable North Center Garden Apartment, 2BR",rental unit in North Center,4.98,54 ,5,2,3,1,$137,30
Cozy 1BR in the heart of Logan Square,rental unit in Logan Square,4.88,8 ,4,1,1,1,$100,87
2BR Bursting w/ Character in Hip Logan Square!,rental unit in Logan Square,4.91,314 ,4,2,3,1,$175,20
Hip Logan Square SPACIOUS & CLEAN 2 Bed Apt!,rental unit in Logan Square,4.64,83 ,7,2,3,1,$125,2
Eclectic Artist Designed Sanctuary Heart of Pilsen,rental unit in Pilsen,4.84,275 ,4,2,2,1,$109,2
"1200 ft near everything; weekend, month or longer",rental unit in Lakeview,4.95,67 ,2,1,1,1,$135,3
Sonder at Grant Park | Superior Studio Apartment w/ Lake View,rental unit in South Loop/Printers Row,4.80,270 ,4,S,2,1,$141,0
Newly Renovated Apartment in Historic Pilsen,rental unit in Pilsen,4.98,41 ,2,1,1,1,$100,20
Spacious Kitschy Logan Square Retreat,rental unit in Logan Square,4.77,105 ,4,2,2,1,$118,13
"Bright, Modern Apartment in a Vintage Greystone",rental unit in Ukrainian Village,4.96,224 ,4,1,2,1,$147,2
Brnd Nw Mdrn 2 Bed 2Bth In the 10th COOLEST Ngbrhd,rental unit in Pilsen,4.84,121 ,5,2,3,2,$109,10
